timestamp,regime,total_score,score_SPY,pct_SPY,score_QQQ,pct_QQQ,score_NVDA,pct_NVDA,score_MSFT,pct_MSFT,score_GLDM,pct_GLDM,score_^VIX,pct_^VIX,score_UUP,pct_UUP,score_^TNX,pct_^TNX,score_AMZN,pct_AMZN,score_JEPI,pct_JEPI,score_JEPQ,pct_JEPQ,score_IREN,pct_IREN,score_LITE,pct_LITE,score_NBIS,pct_NBIS,score_BE,pct_BE,score_1540.T,pct_1540.T,score_2914.T,pct_2914.T,score_8058.T,pct_8058.T,score_8316.T,pct_8316.T,score_6339.T,pct_6339.T,score_4063.T,pct_4063.T,score_5713.T,pct_5713.T,score_JPY=X,pct_JPY=X
241024_1600,RISK_ON,7,1,0.2163,2,0.8109,1,0.6091,2,0.0306,1,0.7246,0,-0.8316,1,-0.3756,1,-0.9901,0,0.9041,0,-0.2352,0,0.6009,0,6.4516,0,-1.5535,0.0,2.7389,0,1.6593,0,-1.0248,0,0.339,0,-0.6239,0,-0.2881,0,0.2041,0,-0.224,0,-1.9747,-2,1.0791
241025_1600,NEUTRAL,3,1,-0.0345,2,0.6094,2,0.8048,1,0.8052,0,0.2583,-2,6.5514,-1,0.3427,-1,0.7619,0,0.778,0,-0.2694,0,0.2715,0,0.1082,0,-0.4177,0.0,11.0,0,3.3732,0,-0.6372,0,-1.3272,0,-0.7892,0,-0.3852,0,-0.1018,0,-0.5181,0,-1.5226,1,-0.6454
241026_1600,NEUTRAL,3,1,-0.0345,2,0.6094,2,0.8048,1,0.8052,0,0.2583,-2,6.5514,-1,0.3427,-1,0.7619,0,0.778,0,-0.2694,0,0.2715,0,0.1082,0,-0.4177,0.0,11.0,0,3.3732,0,-0.6372,0,-1.3272,0,-0.7892,0,-0.3852,0,-0.1018,0,-0.5181,0,-1.5226,1,-0.6454
241027_1600,NEUTRAL,3,1,-0.0345,2,0.6094,2,0.8048,1,0.8052,0,0.2583,-2,6.5514,-1,0.3427,-1,0.7619,0,0.778,0,-0.2694,0,0.2715,0,0.1082,0,-0.4177,0.0,11.0,0,3.3732,0,-0.6372,0,-1.3272,0,-0.7892,0,-0.3852,0,-0.1018,0,-0.5181,0,-1.5226,1,-0.6454
241028_1600,NEUTRAL,2,2,0.3091,2,0.0161,1,-0.7206,1,-0.3644,-1,0.0,0,-2.607,0,0.0,-1,1.087,0,0.2981,0,0.2195,0,0.1264,0,17.84,0,0.9166,0.0,21.36,0,6.8421,0,1.9639,0,1.0761,0,1.4283,0,1.8369,0,1.2232,0,-2.8993,0,1.2607,-2,0.7702
241029_1600,RISK_ON,6,2,0.1618,2,0.9608,2,0.5195,1,1.2565,0,1.0856,0,-2.3232,0,0.0342,0,-0.0935,0,1.2952,0,-0.2022,0,0.5769,0,-3.211,0,1.2315,0.0,-0.4211,0,-0.0985,0,0.0786,0,2.1776,0,0.9269,0,2.5949,0,0.9063,0,0.5364,0,0.1175,-1,0.1484
241030_1600,NEUTRAL,1,1,-0.3025,1,-0.7558,1,-1.3522,1,0.1343,0,0.5279,-2,5.2223,0,-0.239,0,-0.1872,0,0.9956,0,-0.1519,0,-0.3226,0,-2.1801,0,-0.6235,0.0,-6.723,0,-0.3945,0,1.5318,0,0.8762,0,0.5828,0,0.8637,0,0.7984,0,1.0137,0,1.1966,-1,0.062
241101_1600,NEUTRAL,1,1,0.4221,1,0.7399,1,1.9886,-1,0.9893,0,-0.4045,0,-5.5268,-1,0.411,-1,1.7974,0,6.1856,0,-0.3748,0,-0.2565,0,-0.7675,0,2.3172,0.0,-5.7998,0,3.5417,0,-1.4324,0,-3.644,0,-3.1388,0,-1.0388,0,-0.8929,0,-3.1451,0,-0.6991,1,-0.7989
241102_1600,NEUTRAL,1,1,0.4221,1,0.7399,1,1.9886,-1,0.9893,0,-0.4045,0,-5.5268,-1,0.411,-1,1.7974,0,6.1856,0,-0.3748,0,-0.2565,0,-0.7675,0,2.3172,0.0,-5.7998,0,3.5417,0,-1.4324,0,-3.644,0,-3.1388,0,-1.0388,0,-0.8929,0,-3.1451,0,-0.6991,1,-0.7989
241103_1600,NEUTRAL,1,1,0.4221,1,0.7399,1,1.9886,-1,0.9893,0,-0.4045,0,-5.5268,-1,0.411,-1,1.7974,0,6.1856,0,-0.3748,0,-0.2565,0,-0.7675,0,2.3172,0.0,-5.7998,0,3.5417,0,-1.4324,0,-3.644,0,-3.1388,0,-1.0388,0,-0.8929,0,-3.1451,0,-0.6991,1,-0.7989
241104_1600,RISK_ON,5,1,-0.2154,1,-0.2913,1,0.4801,-1,-0.4654,1,0.1292,0,0.457,1,-0.3752,1,-1.1924,0,-1.0862,0,-0.0684,0,-0.1653,0,-5.9669,0,-1.8057,0.0,3.0288,0,8.8531,0,-1.4324,0,-3.644,0,-3.1388,0,-1.0388,0,-0.8929,0,-3.1451,0,-0.6991,0,0.202
241105_1600,RISK_ON,8,2,1.2092,2,1.2757,2,2.8372,-1,0.7345,1,0.2212,0,-6.7789,1,-0.4108,1,-0.4641,0,1.9001,0,0.7702,0,1.0672,0,5.0529,0,3.1323,0.0,-8.4337,0,5.3604,0,-0.8641,0,-0.3152,0,-1.1469,0,0.2779,0,1.5015,0,2.422,0,1.6193,0,-0.0072
251125_1415,RISK_ON,4,1,1.4719,1,2.5573,1,2.0517,0,0.3982,1,1.5895,0,-12.42,0,0.0,1,-0.6153,0,2.533,0,0.4418,0,2.4004,0,14.74,0,17.13,0.0,10.38,0,6.1896,0,2.2257,0,-1.4038,0,-0.4647,0,-0.2697,0,0.7992,0,-0.1778,0,2.796,-1,0.0032
241101_1600,NEUTRAL,1,1,0.4221,1,0.7399,1,1.9886,-1,0.9893,0,-0.4045,0,-5.5268,-1,0.411,-1,1.7974,0,6.1856,0,-0.3748,0,-0.2565,0,-0.7675,0,2.3172,0.0,-5.7998,0,3.5417,0,-1.4324,0,-3.644,0,-3.1388,0,-1.0388,0,-0.8929,0,-3.1451,0,-0.6991,1,-0.7989
241102_1600,NEUTRAL,1,1,0.4221,1,0.7399,1,1.9886,-1,0.9893,0,-0.4045,0,-5.5268,-1,0.411,-1,1.7974,0,6.1856,0,-0.3748,0,-0.2565,0,-0.7675,0,2.3172,0.0,-5.7998,0,3.5417,0,-1.4324,0,-3.644,0,-3.1388,0,-1.0388,0,-0.8929,0,-3.1451,0,-0.6991,1,-0.7989
251127_1041,RISK_ON,6,1,0.6903,1,0.8836,1,1.3722,1,1.7841,1,0.7825,2,-7.3815,0,-0.2826,0,-0.0999,0,-0.2221,0,0.4004,0,0.811,0,2.0645,0,5.8399,0.0,6.5369,0,7.2648,0,0.3274,0,1.1801,0,0.19,0,2.0761,0,1.4706,0,0.7147,0,3.48,-1,-0.1133
251127_1635,RISK_ON,6,1,0.6903,1,0.8836,1,1.3722,1,1.7841,1,0.7825,2,-7.3815,0,-0.2826,0,-0.0999,0,-0.2221,0,0.4004,0,0.811,0,2.0645,0,5.8399,0.0,6.5369,0,7.2648,0,0.3274,0,1.1801,0,0.19,0,2.0761,0,1.4706,0,0.7147,0,3.48,-1,-0.1133
251127_1641,RISK_ON,6,1,0.6903,1,0.8836,1,1.3722,1,1.7841,1,0.7825,2,-7.3815,0,-0.2826,0,-0.0999,0,-0.2221,0,0.4004,0,0.811,0,2.0645,0,5.8399,0.0,6.5369,0,7.2648,0,0.3274,0,1.1801,0,0.19,0,2.0761,0,1.4706,0,0.7147,0,3.48,-1,-0.1133
251127_1734,RISK_ON,6,1,0.6903,1,0.8836,1,1.3722,1,1.7841,1,0.7825,2,-7.3815,0,-0.2826,0,-0.0999,0,-0.2221,0,0.4004,0,0.811,0,2.0645,0,5.8399,0.0,6.5369,0,7.2648,0,0.3274,0,1.1801,0,0.19,0,2.0761,0,1.4706,0,0.7147,0,3.48,-1,-0.1133
